GeoFIPS,GeoName,Year,povertyAll,povertyAllpr,povertyUnder18,povertyUnder18pr,medianHouseholdIncome
1001,"Autauga, AL",1998,4901.0,11.3,2149.0,17.7,38260.0
1001,"Autauga, AL",1999,4991.0,11.4,2115.0,16.9,39702.0
1001,"Autauga, AL",2000,4681.0,10.5,1749.0,14.1,42463.0
1001,"Autauga, AL",2001,4904.0,10.8,1823.0,14.7,42183.0
1001,"Autauga, AL",2002,4795.0,10.3,1816.0,14.4,42841.0
1001,"Autauga, AL",2003,4926.0,10.4,1891.0,15.1,44241.0
1001,"Autauga, AL",2004,5627.0,11.6,2041.0,16.3,45379.0
1001,"Autauga, AL",2005,5020.0,10.4,1828.0,14.7,45019.0
1001,"Autauga, AL",2006,6152.0,12.5,2115.0,16.5,46491.0
1001,"Autauga, AL",2007,5155.0,10.4,1815.0,13.8,50375.0
1001,"Autauga, AL",2008,5366.0,10.7,1944.0,14.9,51622.0
1001,"Autauga, AL",2009,5653.0,11.2,2264.0,16.2,53081.0
1001,"Autauga, AL",2010,6459.0,11.9,2530.0,17.5,53049.0
1001,"Autauga, AL",2011,8152.0,14.9,2999.0,21.0,48863.0
1001,"Autauga, AL",2012,7017.0,12.7,2648.0,18.5,51441.0
1001,"Autauga, AL",2013,7397.0,13.5,2724.0,19.6,51868.0
1001,"Autauga, AL",2014,7204.0,13.1,2505.0,18.1,54366.0
1001,"Autauga, AL",2015,6966.0,12.7,2544.0,18.8,56580.0
1001,"Autauga, AL",2016,7444.0,13.5,2588.0,19.3,54487.0
1001,"Autauga, AL",2017,7390.0,13.4,2542.0,19.3,58343.0
1001,"Autauga, AL",2018,7587.0,13.8,2509.0,19.3,59338.0
1001,"Autauga, AL",2019,6723.0,12.1,2040.0,15.9,58233.0
1001,"Autauga, AL",2020,6242.0,11.2,1912.0,14.9,67565.0
1001,"Autauga, AL",2021,6296.0,10.7,2199.0,16.1,66444.0
1003,"Baldwin, AL",1998,15089.0,11.0,5688.0,16.8,37162.0
1003,"Baldwin, AL",1999,14668.0,10.5,5498.0,16.0,39194.0
1003,"Baldwin, AL",2000,13855.0,9.7,5340.0,15.5,41283.0
1003,"Baldwin, AL",2001,16313.0,11.1,6118.0,17.5,40406.0
1003,"Baldwin, AL",2002,16175.0,10.7,5501.0,15.5,40818.0
1003,"Baldwin, AL",2003,15753.0,10.1,5550.0,15.6,41961.0
1003,"Baldwin, AL",2004,16089.0,10.0,5415.0,14.9,42227.0
1003,"Baldwin, AL",2005,18249.0,11.4,6778.0,18.9,42804.0
1003,"Baldwin, AL",2006,18269.0,11.0,5895.0,15.7,45493.0
1003,"Baldwin, AL",2007,17500.0,10.3,6074.0,15.3,49163.0
1003,"Baldwin, AL",2008,17110.0,9.9,6071.0,15.1,51957.0
1003,"Baldwin, AL",2009,23590.0,13.3,8070.0,19.6,48637.0
1003,"Baldwin, AL",2010,24056.0,13.3,8357.0,20.2,47618.0
1003,"Baldwin, AL",2011,24728.0,13.4,8611.0,20.5,50144.0
1003,"Baldwin, AL",2012,26177.0,13.9,8723.0,20.5,48867.0
1003,"Baldwin, AL",2013,27429.0,14.2,8994.0,20.8,47539.0
1003,"Baldwin, AL",2014,25696.0,13.0,8637.0,19.8,49626.0
1003,"Baldwin, AL",2015,25941.0,12.9,8629.0,19.6,52387.0
1003,"Baldwin, AL",2016,24005.0,11.7,7881.0,17.6,56460.0
1003,"Baldwin, AL",2017,21199.0,10.1,6734.0,14.7,56607.0
1003,"Baldwin, AL",2018,21069.0,9.8,6442.0,13.9,57588.0
1003,"Baldwin, AL",2019,22360.0,10.1,6323.0,13.5,59871.0
1003,"Baldwin, AL",2020,20189.0,8.9,5907.0,12.4,71135.0
1003,"Baldwin, AL",2021,25526.0,10.8,8207.0,16.4,65658.0
1005,"Barbour, AL",1998,5795.0,22.7,2183.0,31.3,27603.0
1005,"Barbour, AL",1999,5903.0,22.3,2231.0,30.4,25837.0
1005,"Barbour, AL",2000,5847.0,22.2,2048.0,28.6,26612.0
1005,"Barbour, AL",2001,6312.0,24.2,2201.0,31.1,25480.0
1005,"Barbour, AL",2002,6152.0,23.6,2083.0,29.5,25279.0
1005,"Barbour, AL",2003,5717.0,22.2,2083.0,30.5,26062.0
1005,"Barbour, AL",2004,6109.0,23.9,2024.0,31.1,26495.0
1005,"Barbour, AL",2005,5694.0,22.4,2035.0,31.5,29534.0
1005,"Barbour, AL",2006,7247.0,28.7,2224.0,34.0,28692.0
1005,"Barbour, AL",2007,6442.0,26.1,2130.0,34.1,30370.0
1005,"Barbour, AL",2008,6399.0,24.5,2070.0,31.9,30896.0
1005,"Barbour, AL",2009,8676.0,32.8,2690.0,41.2,28802.0
1005,"Barbour, AL",2010,6098.0,25.3,2145.0,36.2,33074.0
1005,"Barbour, AL",2011,7051.0,29.5,2330.0,39.8,30117.0
