GeoFIPS,GeoName,proximity_to_risk_management_plan_facilities
1001,"Autauga, AL",0.08797092813289994
1003,"Baldwin, AL",0.11492336606681389
1005,"Barbour, AL",0.2798592326800994
1007,"Bibb, AL",0.03331080780687325
1009,"Blount, AL",0.08023196546523118
1011,"Bullock, AL",0.4438768540202967
1013,"Butler, AL",0.022599354448254994
1015,"Calhoun, AL",0.4705754768012005
1017,"Chambers, AL",0.25786690433749254
1019,"Cherokee, AL",0.1446840134347373
1021,"Chilton, AL",0.11463670411985018
1023,"Choctaw, AL",0.0663705996131528
1025,"Clarke, AL",0.22550439323607427
1027,"Clay, AL",0.16253355327284996
1029,"Cleburne, AL",0.09675315097881469
1031,"Coffee, AL",0.10108396887460805
1033,"Colbert, AL",0.46869511237698785
1035,"Conecuh, AL",0.07616830724544134
1037,"Coosa, AL",0.07
1039,"Covington, AL",0.16622177419354842
1041,"Crenshaw, AL",0.13839063854377348
1043,"Cullman, AL",0.2256514549865424
1045,"Dale, AL",0.27480569028147006
1047,"Dallas, AL",0.34318526654576115
1049,"DeKalb, AL",0.2543374000841397
1051,"Elmore, AL",0.16316720891255054
1053,"Escambia, AL",0.15707099873168362
1055,"Etowah, AL",0.8175558648343522
1057,"Fayette, AL",0.024631381108281798
1059,"Franklin, AL",0.3133604525519609
1061,"Geneva, AL",0.24302911004277547
1063,"Greene, AL",0.2372164824603556
1065,"Hale, AL",0.13163481666554122
1067,"Henry, AL",0.16670635615478901
1069,"Houston, AL",1.0550367710263415
1071,"Jackson, AL",0.23901527424207356
1073,"Jefferson, AL",0.6600323490177056
1075,"Lamar, AL",0.03281742888008642
1077,"Lauderdale, AL",0.8401082587838714
1079,"Lawrence, AL",0.0638940649767076
1081,"Lee, AL",0.3750303440230341
1083,"Limestone, AL",0.3110987363687228
1085,"Lowndes, AL",0.06475543208651653
1087,"Macon, AL",0.07606264699593757
1089,"Madison, AL",0.22610056973136503
1091,"Marengo, AL",0.35343926297810674
1093,"Marion, AL",0.13633395834728454
1095,"Marshall, AL",1.0169682046778123
1097,"Mobile, AL",0.6301049952428558
1099,"Monroe, AL",0.40741889985895624
1101,"Montgomery, AL",0.4409553143768644
1103,"Morgan, AL",0.5899254275959837
1105,"Perry, AL",0.023678037232325404
1107,"Pickens, AL",0.075510052857778
1109,"Pike, AL",0.8102205022050222
1111,"Randolph, AL",0.03420188104384687
1113,"Russell, AL",0.8762948647156268
1115,"St. Clair, AL",0.20278932593846957
1117,"Shelby, AL",0.15283233067206417
1119,"Sumter, AL",0.034825349691333905
1121,"Talladega, AL",0.3692667968701407
1123,"Tallapoosa, AL",0.183783083791717
1125,"Tuscaloosa, AL",0.4131618147174453
1127,"Walker, AL",0.2343949461862424
1129,"Washington, AL",0.1960606976603591
1131,"Wilcox, AL",0.02
1133,"Winston, AL",0.0543361083081063
2013,"Aleutians East Borough, AK",1.01
2016,"Aleutians West Census Area, AK",2.1263285363285362
2020,"Anchorage Municipality, AK",0.8015338754680085
2050,"Bethel Census Area, AK",0.0
2060,"Bristol Bay Borough, AK",0.55
2068,"Denali Borough, AK",0.0
2070,"Dillingham Census Area, AK",0.12106430155210643
2090,"Fairbanks North Star Borough, AK",0.20683997496770026
2100,"Haines Borough, AK",0.01
