GeoFIPS,GeoNameALT,total_obligated_amount
1011,"Bullock, AL",14700.0
1015,"Calhoun, AL",1260689.0
1021,"Chilton, AL",250000.0
1033,"Colbert, AL",179189.0
1039,"Covington, AL",1515000.0
1069,"Houston, AL",179189.0
1073,"Jefferson, AL",107475605.0
1081,"Lee, AL",5305377.0
1083,"Limestone, AL",9385452.0
1085,"Lowndes, AL",987000.0
1089,"Madison, AL",189189.0
1097,"Mobile, AL",6456325.0
1101,"Baldwin, AL",2248034.0
1101,"Montgomery, AL",6631552.0
1103,"Morgan, AL",189189.0
1109,"Pike, AL",28084258.0
1115,"Saint Clair, AL",1500000.0
1121,"Talladega, AL",6269197.0
1125,"Tuscaloosa, AL",30189189.0
1131,"Wilcox, AL",463189.0
1133,"Winston, AL",1662505.0
2016,"Aleutians West (Ca), AK",1443551.0
2020,"Anchorage Municipalit, AK",63803.0
2020,"Anchorage, AK",72899848.0
2050,"Bethel, AK",174739.0
2070,"Dillingham, AK",193739.0
2090,"Fairbanks North Star, AK",115744840.0
2090,"Fairbanks, AK",4544546.0
2110,"Juneau, AK",62087168.0
2122,"Kenai Peninsula, AK",21728945.0
2150,"Kodiak Island, AK",1660000.0
2180,"Nome, AK",193739.0
2185,"North Slope, AK",4090021.0
2261,"Valdez-Cordova (Ca), AK",2147772.0
2261,"Valdez-Cordova, AK",1073886.0
2290,"Yukon-Koyukuk (Ca), AK",78888.0
4001,"Apache, AZ",32190067.0
4003,"Cochise, AZ",220189.0
4005,"Coconino, AZ",223189.0
4007,"Gila, AZ",89739.0
4013,"Maricopa, AZ",51154714.0
4013,"Maricopia, AZ",2357435.0
4017,"Navajo, AZ",293478.0
4019,"Pima, AZ",9109321.0
4021,"Pinal, AZ",218189.0
4027,"Yuma, AZ",57000.0
5009,"Boone, AR",210189.0
5011,"Bradley, AR",1900000.0
5027,"Columbia, AR",170189.0
5031,"Craighead, AR",508739.0
5045,"Faulkner, AR",142866.0
5051,"Garland, AR",170189.0
5063,"Independence, AR",170189.0
5069,"Jefferson, AR",170189.0
5085,"Lonoke, AR",170189.0
5091,"Miller, AR",1000000.0
5093,"Mississippi, AR",1200000.0
5099,"Nevada, AR",910000.0
5111,"Poinsett, AR",600000.0
5119,"Pulaski, AR",130064420.0
5131,"Sebastian, AR",170189.0
5135,"Sharp, AR",124875.0
5139,"Union, AR",940000.0
6001,"Alameda, CA",12546855.0
6007,"Butte, CA",634189.0
6013,"Contra Costa, CA",30550803.0
6015,"Del Norte, CA",1056113.0
6019,"Fresno, CA",46981631.0
6023,"Humboldt, CA",1097844.0
6023,"Humbolt, CA",275000.0
