year,GeoFIPS,total_obligated_amount
2010,69,110719238.0
2010,93,13282813.0
2010,111,840055898.0
2010,153,1248153.0
2010,161,48428565.0
2010,220,8892087.0
2010,361,339491769.0
2010,413,43209493.0
2010,449,19920.0
2010,667,82765123.0
2010,831,198584404.0
2010,1101,39472634.0
2010,1273,165488325.0
2010,1897,428510195.0
2010,2173,8955213.0
2010,2233,140147.0
2010,2315,360900.0
2010,2525,2081322.0
2010,2849,18703759.0
2010,2951,44199684.0
2010,2977,158529946.0
2010,3029,6999858.0
2010,3049,30944649.0
2010,3087,7118942.0
2010,3313,12675735.0
2010,3421,236050148.0
2010,3549,7475920.0
2010,3661,1018740.0
2010,3949,86173072.0
2010,4147,12681721.0
2010,4243,76160476.0
2010,4579,55305019.0
2010,4665,30107597.0
2010,4935,64732491.0
2010,5023,8000275.0
2010,5333,400340.57
2010,5367,51194937.0
2010,5439,33899629.0
2010,5525,27458046.0
2010,5621,12400227.0
2010,6037,32000.0
2010,11001,26617491.91
2010,12105,1068926.68
2010,12109,94226.0
2010,13121,155674672.0
2010,17031,276563.07
2010,17167,195514185.0
2010,19169,30756238.0
2010,20177,5013975.0
2010,24510,22718890.0
2010,25009,120795.0
2010,25017,1219395.08
2010,26125,31307368.0
2010,27123,12319131.0
2010,31109,18109905.0
2010,32510,11501528.0
2010,36001,2900000.0
2010,36061,246496.0
2010,37135,3893998.0
2010,37183,640966153.0
2010,39049,35992.0
2010,40109,189189957.0
2010,40119,1658906.0
2010,47093,738609.28
2010,48453,180239577.0
2010,51121,6746888.0
2010,51760,37063365.0
2010,55025,29589910.0
2018,1001,133883.0
2018,1003,6981853.0
2018,1005,134934.0
2018,1007,271982.0
2018,1009,412584.0
2018,1011,3139775.0
2018,1013,2889342.0
2018,1015,506937.0
2018,1017,1732971.0
2018,1019,479229.0
2018,1021,2595183.02
2018,1027,459463.0
2018,1031,1075922.0
2018,1033,4778349.0
2018,1035,154646.0
2018,1039,233016.0
2018,1043,1099363.0
2018,1045,3571002.0
2018,1047,172497.0
2018,1049,217838.0
2018,1051,467965.0
2018,1053,3076808.0
2018,1055,725571.0
2018,1059,237862.0
2018,1067,1144610.0
2018,1071,584908.0
2018,1073,25962660.3
2018,1079,595032.0
2018,1081,4878384.63
2018,1087,852541.0
2018,1089,60133543.86
2018,1091,1915810.0
2018,1095,1017867.0
2018,1097,14961375.15
2018,1099,639072.0
2018,1101,2987226558.61
2018,1103,811057.0
2018,1107,604478.0
2018,1109,205772.0
2018,1111,53845.0
2018,1117,249970.0
2018,1121,202208.0
2018,1123,155612.0
2018,1125,6325748.0
2018,1127,113788.0
2018,1131,156685.0
2018,2013,182380.78
2018,2020,413221109.98
2018,2050,21159963.65
2018,2070,1741005.1500000001
2018,2090,21943661.96
2018,2100,3826184.51
2018,2105,1404813.28
2018,2110,1926301405.52
2018,2122,22910533.7
2018,2130,9262127.64
2018,2158,566638.77
2018,2164,657491.7
2018,2170,8910816.42
2018,2180,46269017.33
2018,2185,11225431.97
2018,2188,18434.0
2018,2198,19335394.49
2018,2220,640171.4400000001
2018,2240,1130519.73
2018,2261,6907667.71
2018,2275,2780015.7800000003
2018,2282,664574.6799999999
2018,2290,8520889.21
2018,4001,108035470.77
2018,4003,848537.0
2018,4005,14380360.67
2018,4007,5126110.0
2018,4013,3971656854.71
2018,4015,6312236.55
2018,4017,8359243.11
2018,4019,91057998.05
2018,4021,11623636.52
2018,4025,6124540.359999999
2018,4027,4412839.0
2018,5001,1514312.0
2018,5003,965984.17
2018,5005,198934.0
2018,5007,5935890.0
2018,5009,41128.0
2018,5011,89445.0
2018,5015,317673.0
2018,5019,646528.0
2018,5021,255831.0
2018,5023,1360737.0
2018,5027,562483.0
2018,5029,657795.0
2018,5031,1652251.0
2018,5035,12074842.9
2018,5041,586358.0
2018,5045,2492475.0
2018,5049,4567380.7
2018,5051,3755871.0
2018,5055,41517.0
2018,5057,515021.0
2018,5059,890588.0
2018,5063,343293.0
2018,5065,320673.0
2018,5067,634694.0
2018,5069,1081486.0
2018,5071,453596.0
2018,5075,75143.5
2018,5077,201954.0
2018,5085,500217.6
2018,5089,142065.0
2018,5093,814661.0
2018,5095,636668.0
2018,5097,326205.0
2018,5103,1547989.0
2018,5107,264338.55
2018,5113,4661701.0
2018,5119,2205469560.02
2018,5121,63998.0
2018,5123,5454884.0
2018,5127,30029.0
2018,5131,2508368.0
2018,5133,148936.0
2018,5135,302465.0
2018,5141,135276.0
2018,5143,39425606.58
2018,6001,302617173.05
2018,6007,8575001.16
2018,6009,1021088.25
2018,6011,77470.81
2018,6013,12398143.0
2018,6015,27929115.98
2018,6017,1242081.71
2018,6019,29851951.79
2018,6021,187722.37
2018,6023,2881855.23
2018,6025,5181017.39
2018,6027,2761553.0
2018,6029,50908349.69
2018,6031,5895815.0
2018,6035,1263030.62
2018,6037,4378977305.47
2018,6039,8482258.0
2018,6041,3099001.0
2018,6045,1114443.42
2018,6047,4833297.0
2018,6049,298075.0
2018,6051,163833.97
2018,6053,53183865.0
2018,6055,33500566.0
2018,6057,2072152.0
2018,6059,139632705.28
2018,6061,4853555.0
2018,6063,1648390.0
2018,6065,87352701.8
2018,6067,10350772372.89
2018,6069,3593601.0
2018,6071,42138429.53
2018,6073,1271120669.09
2018,6075,583715700.0
2018,6077,50595166.87
2018,6079,8066372.0
2018,6081,905681418.24
2018,6083,43685400.0
2018,6085,599445953.81
2018,6087,7823551.01
2018,6089,4508280.92
2018,6093,6879343.33
2018,6095,38282239.64
2018,6097,137706133.34
2018,6099,7355732.0
2018,6107,25446186.0
2018,6109,3540868.0
2018,6111,34102242.0
2018,6113,9912919.0
2018,6115,6300000.0
2018,8001,254932.81
2018,8003,2808732.0
2018,8005,7121385.0
2018,8013,5370518.0
2018,8014,6307559.0
2018,8029,4028020.0
2018,8031,4439420488.95
2018,8037,14251178.0
2018,8041,60997106.0
2018,8043,539098.0
2018,8045,657999.0
2018,8049,1063334.0
2018,8051,7461158.0
2018,8059,20749169.45
2018,8063,295970.0
2018,8065,5681997.0
2018,8067,5042040.0
2018,8069,19018026.52
2018,8073,393685.0
2018,8075,280445.0
2018,8077,12756590.0
2018,8081,194281.0
2018,8085,2201454.01
2018,8087,5844967.0
2018,8089,14661173.25
2018,8097,0.0
2018,8101,11806404.64
2018,8103,148156.0
2018,8105,742887.0
2018,8107,6638796.0
2018,8113,6355228.0
2018,8121,250052.0
2018,8123,6020393.0
2018,8125,5062597.0
2018,9001,11187875.59
2018,9003,2501303720.3
2018,9007,894200.0
2018,9009,6470980.66
2018,9011,5827403.3100000005
2018,9013,304512.4
2018,10001,817603991.82
2018,10003,16224504.28
2018,10005,5465221.48
2018,11001,17894102290.58
2018,12001,16799624.0
2018,12005,7274694.12
2018,12009,19589525.98
2018,12011,237315266.69
2018,12013,155345.39
2018,12015,12797451.32
2018,12017,914647.0
2018,12019,3531681.0
2018,12021,11873268.91
2018,12023,18175773.93
2018,12027,633502.06
2018,12031,51276441.78
2018,12033,10056807.74
2018,12035,1475629.0
2018,12037,282250.0
2018,12039,339926.0
2018,12051,1636245.0
2018,12053,5444198.38
2018,12055,6965754.8
2018,12057,76222232.43
2018,12061,9516387.0
2018,12069,4451312.0
2018,12071,19928859.0
2018,12073,28221080321.21
2018,12075,266463.0
2018,12081,5141462.0
2018,12083,4436305.2
2018,12085,2927887.09
2018,12086,230238367.54
2018,12087,6365253.0
2018,12089,232054.0
2018,12091,5566677.4
2018,12095,54513784.86
2018,12099,15123275.21
2018,12101,1199413.0
2018,12103,53905311.68
2018,12105,20901607.61
2018,12107,139315.0
2018,12109,6841198.02
2018,12111,4442149.48
2018,12115,3097532.49
2018,12117,5451163.0
2018,12121,140033.0
2018,12123,376993.7
2018,12127,52523040.72
2018,12133,579141.9199999999
2018,13021,95621.97
2018,13051,20940194.14
2018,13057,982928.0
2018,13059,5000.0
2018,13067,16869003.0
2018,13089,595034.0
2018,13095,5979425.29
2018,13097,884510.0
2018,13121,8335139625.8
2018,13127,1671837.6
2018,13135,27321572.0
2018,13185,329274.0
