GeoFIPS,GeoName,rural_housing,urban_housing,total_housing,rural_pop,urban_pop,total_pop
1001020100,"Autauga, AL (CT)",132,620,752,318,1594,1912
1001020200,"Autauga, AL (CT)",0,822,822,0,2170,2170
1001020300,"Autauga, AL (CT)",0,1326,1326,0,3373,3373
1001020400,"Autauga, AL (CT)",0,1823,1823,0,4386,4386
1001020500,"Autauga, AL (CT)",1,4307,4308,4,10762,10766
1001020600,"Autauga, AL (CT)",36,1416,1452,73,3595,3668
1001020700,"Autauga, AL (CT)",173,1128,1301,386,2505,2891
1001020801,"Autauga, AL (CT)",912,257,1169,2462,619,3081
1001020802,"Autauga, AL (CT)",3061,942,4003,7789,2646,10435
1001020900,"Autauga, AL (CT)",2320,0,2320,5675,0,5675
1001021000,"Autauga, AL (CT)",1261,0,1261,2894,0,2894
1001021100,"Autauga, AL (CT)",1598,0,1598,3320,0,3320
1003010100,"Baldwin, AL (CT)",1984,0,1984,3804,0,3804
1003010200,"Baldwin, AL (CT)",1194,75,1269,2726,176,2902
1003010300,"Baldwin, AL (CT)",2733,367,3100,6366,1460,7826
1003010400,"Baldwin, AL (CT)",1877,82,1959,4523,213,4736
1003010500,"Baldwin, AL (CT)",261,1716,1977,546,4269,4815
1003010600,"Baldwin, AL (CT)",553,822,1375,1360,1965,3325
1003010701,"Baldwin, AL (CT)",95,3202,3297,205,7677,7882
1003010703,"Baldwin, AL (CT)",1588,3934,5522,4053,9113,13166
1003010704,"Baldwin, AL (CT)",3,2163,2166,8,5047,5055
1003010705,"Baldwin, AL (CT)",36,4243,4279,92,8239,8331
1003010800,"Baldwin, AL (CT)",0,3128,3128,0,6861,6861
1003010903,"Baldwin, AL (CT)",492,1513,2005,1176,3997,5173
1003010904,"Baldwin, AL (CT)",2708,150,2858,6453,378,6831
1003010905,"Baldwin, AL (CT)",1921,1401,3322,4600,3411,8011
1003010906,"Baldwin, AL (CT)",603,1158,1761,1522,2780,4302
1003011000,"Baldwin, AL (CT)",1929,0,1929,4305,0,4305
1003011101,"Baldwin, AL (CT)",585,3141,3726,1445,6952,8397
1003011102,"Baldwin, AL (CT)",1314,256,1570,3083,632,3715
1003011201,"Baldwin, AL (CT)",49,2236,2285,123,4107,4230
1003011202,"Baldwin, AL (CT)",244,2604,2848,442,4623,5065
1003011300,"Baldwin, AL (CT)",2160,271,2431,3917,570,4487
1003011401,"Baldwin, AL (CT)",4346,742,5088,8912,1720,10632
1003011403,"Baldwin, AL (CT)",1828,3898,5726,2928,6203,9131
1003011405,"Baldwin, AL (CT)",1715,6255,7970,839,2993,3832
1003011406,"Baldwin, AL (CT)",3539,3267,6806,1102,2310,3412
1003011407,"Baldwin, AL (CT)",1137,5923,7060,1067,3732,4799
1003011408,"Baldwin, AL (CT)",2497,0,2497,433,0,433
1003011501,"Baldwin, AL (CT)",710,1809,2519,1503,3813,5316
1003011502,"Baldwin, AL (CT)",390,4811,5201,821,9713,10534
1003011601,"Baldwin, AL (CT)",3140,21,3161,6015,47,6062
