GeoFIPS,GeoName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01001,"Autauga County, AL",16936,16958,17629,18170,18885,19632,20263,21087,21681,22533,21861,22081,22161,22695,23241,23887.0,24425.0,24434,24687,24660,25749,25845,25762,25783,25639,25541,25710,26269,26471,26696,26425.0,26545,26789
01003,"Baldwin County, AL",46896,49521,52129,54891,58092,60795,63985,67122,69460,71240,69979,69569,69379,72598,74843,76608.0,79806.0,82829,83205,82314,83551,85077,84507,85206,86546,87493,89778,93152,96235,98965,98979.0,99953,102849
01005,"Barbour County, AL",11510,11649,11592,11953,12144,12346,12515,12473,12861,13423,11449,11324,11006,11019,10639,10730.0,10713.0,10363,10175,9944,10219,9843,9377,9096,8859,8590,8334,8415,8505,8641,8684.0,8280,8241
01007,"Bibb County, AL",7449,7529,7976,7700,7748,7987,7888,8032,7782,7217,8623,9134,8961,8871,8851,8837.0,8858.0,8810,8751,8696,8936,8932,8808,8699,8573,8552,8539,8648,8697,8777,8717.0,8641,8726
01009,"Blount County, AL",19196,19166,19522,19862,20334,20985,21685,22676,23669,24079,25266,25450,25836,26008,26237,26378.0,26799.0,26683,26693,26426,24928,25124,24978,24860,24571,24416,24380,25009,25333,25592,25136.0,25377,25796
01011,"Bullock County, AL",4416,4551,4295,4155,4277,4444,4560,4580,4566,4473,3997,3937,3890,3992,3879,3734.0,3703.0,3666,3641,3713,4941,4829,4742,4774,4738,4765,4785,4890,4843,4864,4880.0,4637,4554
01013,"Butler County, AL",8857,8723,8904,9177,9565,10010,9970,9908,10060,9908,9221,9060,9172,9218,9090,9113.0,9247.0,9124,9063,9033,9252,9180,9103,9144,9285,9113,9116,9046,9069,9321,9238.0,8819,8804
01015,"Calhoun County, AL",51604,52215,53138,52616,52488,53388,52929,54204,54511,54606,53244,51889,52111,53026,54074,53812.0,54118.0,54983,54574,53760,51577,51271,49717,48381,47321,45808,45450,46304,46800,46828,47047.0,46368,46140
01017,"Chambers County, AL",17736,17570,17222,17400,17053,17141,16842,17023,16915,16522,17486,17526,17211,16896,16617,16308.0,15761.0,15517,15066,14487,14734,15185,15160,15263,15329,14939,14858,15375,15529,16000,16102.0,15790,15933
01019,"Cherokee County, AL",9659,9626,9553,9652,10006,10146,10510,10731,10311,10222,11378,11406,11591,11977,12072,12012.0,11864.0,12012,11999,11715,11466,11473,11278,11392,11407,11132,11241,11470,11810,11911,11682.0,11686,11696
01021,"Chilton County, AL",15217,15245,15660,16277,16979,17542,17655,18246,18059,18691,19601,19580,19452,19557,19650,19623.0,19792.0,19777,19609,19393,19474,19536,19396,19339,19130,19089,19029,19478,19830,20155,19951.0,20004,20266
